Country Name,Continent,Physicians,Above_65,Health_Expenditure,Basic_Sanitation,Basic_Water,GDP_per_capita,Cellular_Subscriptions,cases_per_100000,deaths_per_100000
St. Lucia,North America,0.6409,9.604650906,4.7146244,88.35290861,98.16200142,14945.73328,97.64581054,57,0
St. Martin (French part),North America,,,,,,,,51,0
St. Vincent and the Grenadines,North America,,9.452138363,4.3064785,87.1843449,95.1452199,12245.12634,105.4786164,8,0
Sudan,Africa,0.2618,3.535206834,6.30497503,36.57503249,60.26709116,4327.782553,70.18317784,0,0
Suriname,South America,1.1849,6.804955688,6.22976971,84.45758317,95.42474497,16372.57962,139.5050973,774,28
Sweden,Europe,,19.99141637,10.78592205,99.29552038,100.0000025,51947.95425,126.3951989,2434,0
Switzerland,Europe,4.2957,18.43086713,11.89515591,99.89037352,100.0000029,66697.57097,131.1359393,3636,1
Syrian Arab Republic,Asia,,4.318354616,,91.2228714,97.21650621,,89.99935539,35,3
Tajikistan,Asia,,2.982714035,7.2288146,97.02306222,81.1962748,3089.529513,111.5281656,316,6
Tanzania,Africa,,2.583661254,3.63913774,29.91343902,56.72645032,2530.603317,73.09478999,100,0
Thailand,Asia,0.8075,11.43696392,3.83202839,98.75073461,99.93071158,17420.57547,175.5964942,85800,712
Timor-Leste,Asia,0.7504,4.359593906,4.33655405,53.51900783,78.34386574,3145.483121,125.2052269,232,0
Togo,Africa,0.0299,2.850227201,6.02144766,16.1321037,65.12884019,1516.525849,78.84556082,375,6
Tonga,Oceania,,5.96482284,5.05521584,93.44527091,99.90682775,6467.124278,105.8236436,0,0
Trinidad and Tobago,South America,3.3646,10.36458706,7.02028561,93.39890595,98.18496206,26447.82258,146.7160721,1390,40
Tunisia,Africa,1.3025,8.052333842,7.25768566,90.92139742,96.25470364,10605.26185,125.3697596,29510,904
Turkey,Europe,1.8492,8.255711388,4.17974997,97.29723396,98.87571815,27913.81872,95.91170472,56448,346
Turkmenistan,Asia,,4.277496423,6.93379545,98.69919847,98.81432798,14205.02651,162.8611033,0,0
Turks and Caicos Islands,North America,,,,87.98863636,94.31818182,27060.58966,,15,0
Tuvalu,Oceania,,,17.72825432,84.07847367,99.27224,3896.748473,70.36059807,0,0
Uganda,Africa,0.168,1.920304884,6.48715639,18.47231816,49.10403239,2074.652436,60.60467775,2275,234
Ukraine,Europe,,16.15522615,7.43332434,96.22435599,93.79082011,11871.12362,131.3565115,3814,109
United Arab Emirates,Asia,2.4356,1.034677976,4.14456415,98.58600874,98.04550656,67183.60531,208.9785999,10726,25
United Kingdom,Europe,2.7863,18.29113504,9.82511234,99.11029548,100.0000015,45744.71049,118.5404012,321223,387
United States,North America,2.612,15.4193659,17.00361443,99.97001877,99.26919207,60036.98921,123.0448345,231856,1376
Uruguay,South America,5.0794,14.70022618,9.51635647,96.59619234,99.4023635,21324.85221,148.3299827,1909,51
Uzbekistan,Asia,,4.264759603,5.07679749,100,97.83345271,6518.804687,75.92497884,4406,30
Vanuatu,Oceania,,3.67377675,2.76094961,34.0670576,91.25680395,3081.835198,79.86270183,0,0
"Venezuela, RB",South America,,6.943682037,6.22255135,93.93501902,95.72371132,,83.30482214,7647,99
Vietnam,Asia,,7.031027948,5.92534494,83.51504947,94.71880561,7155.443187,126.8661299,35981,163
Virgin Islands (U.S.),North America,,18.7224943,,99.37127753,98.71826738,,,167,1
"Yemen, Rep.",Asia,,2.851637009,,59.05300312,63.47347434,,55.17502377,30,5
Zambia,Africa,,2.084806931,4.39748955,26.37011849,59.96375651,3485.02178,79.73690961,7602,205
Zimbabwe,Africa,0.1859,2.896191119,5.84977484,36.22139756,64.0512297,3028.277031,98.98507333,14549,452
